,Title,Locality,Building/Area,Price,Area,Number_of_Bedrooms,Number_of_Bathrooms,Description
0,1 Bedroom Independent House for rent in Whitefield,Whitefield,Nestaway-11283,10000,9000,1,1,"An excellent 1 bhk residential apartment for rent in whitefield, bangalore east. It is a very good property. It is available for single women. We are looking for rs. 10000. It is on the 1st floor. It is an east facing property. 1 covered parking."
1,2 BHK Independent Builder Floor for rent in Garudachar Palya,Garudachar Palya,,23000,900,2,2,"Located at mahadevapura, bangalore, this beautiful 2 bhk semi furnished house which is priced at 23000 for full house with a security deposit of 69000, with a floor size of 800 sq.Ft. This house features modular kitchen, sofa, and dining table and more. The house features two bathrooms. Book now and enjoy the comfort!"
2,3 BHK Residential Apartment for rent in Rajarajeshwari Nagar,Rajarajeshwari Nagar,GRC Brundavan,21990,1405,3,2,"Come see this gorgeous 3 bkh residential apartment in grc brundavan, rajarajeshwari nagar, bangalore west, bangalore.

Basic details:

You will love this bright and spacious three bedrooms apartment with two bathrooms, modular kitchen, spacious hall, pooja room and two balconies which is available for rent. The balcony offers a great view and is a place to enjoy at any time. This house provides ample of natural light and has good ventilation that invites comfort. It is situated on 9th of 16 floors.

Furnishings and amenities:

This impeccable house is a semi-Furnished unit with a super built up area of 1405 sq. Ft. It comes with wardrobes, geysers and with basic fittings such as lights, fans and bathroom fixtures. There is plenty of room for the whole family to enjoy. The unit has spacious interiors, full power back-Up and 24*7 water facility. Apart from this, you will love the convenience of your own covered parking spot.

The property is a quality construction. The society boasts of manicured landscaping and an ample amenities package. The amenities include lifts, swimming pool, club house, play area for children, gym and park.

Location:

The location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.

-At a walkable distance from bangalore -Mysore highway
-Located close to bangalore university campus
-Gopalan mall and rajarajeshwari temple at a close distance
-Walkable from upcoming metro station

Wait no more and schedule a tour today.
For more details, kindly contact the owner."
3,2 BHK Residential Apartment for rent in Rayasandra,Rayasandra,SJR Parkway Homes,18000,1135,2,2,"Looking for an affordable apartment with best facilities? You are at the right place!

A recently renovated semi furnished residential apartment at rayasandra, bangalore south, with super built up area of1135 sq. Ft. Is immediately available for rent.

It is located on the 1st floor, whichcomprises of 2 bedrooms, 2 bathrooms, 2 wardrobes, modular kitchen, fan, exhaust fan, 2 geysers, lights, and chimney.

There is a balcony in the property, which makes it fully ventilated, full of natural light, with a relaxing view to enjoy.

Everything within the apartment is of high quality.

There is a park within the complex.

Residents will be able to enjoy the benefits of a secure and safe neighborhood as security is available in the building.

Apartment is conveniently located off sarjapur road, close to hsr and mico- Bosch, this is right amidst one of the best planned neighbourhoods in bangalore's it corridor. 

With innovative planning that maximises the availability of space, the enclave keeps you close to the city's centres of business, while also treating you to the calm of 9.5 serene acres.

Apartment is loaded with amenities that soothe mind and body, so you and your family are in the perfect setting to have your next great creative idea.

Below are key highlights (Facilities/features):

A) lifts
B) piped gas
C) maintenance staff
D) club onne, clubhouse
E) visitor parking
F) swimming pool paddle pool
G) security personnel
H) gym
I) covered parking 
J) amphitheatre
K) squash court, basketball half court, indoor badminton court
L) convenience store

Club onne , club house is one of the best in that area and its free for apartment residents.

Isnt it the perfect home you are looking for? Then wait no more and just grab the opportunity right away!

Contact owner for more information.
 Additional details :

The society has dedicated security guards for every tower.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent."
4,3 BHK Residential Apartment for rent in Yelahanka,Yelahanka,Nitesh Columbus Square,25000,1537,3,3,"Looking for an apartment in the prime location of nitesh columbus square, yelahanka, bangalore?

With all amenities and facilities available for you and your family at a stone throw distance?

Well! This apartment comes with the bests of features and provides you and your family comfort, luxury and levels up your class.

Property configuration

This residential apartment in nitesh columbus square, yelahanka, bangalore is stretched over an area of 1537 sq. Ft. And comprises of-

1. Three spacious bedrooms
2. Three elegant washrooms
3. Three balconies
4. An ornamented kitchen

Facilities and features

This apartment is a semi-Furnished unit and comes with the basic facilities like lights and fans, proper electricity and bathroom fixtures altogether.

The community holds on security and safety as its priority.

Additional furnishings

1. Spacious wardrobes 
2. Geyser 
3. Chimney 
4. Modular kitchen 

The apartment promises a contented lifestyle and it facilitates the residents with a number of amenities such as-

1. Swimming pool
2. Club house 
3. Intercom facility 
4. Gym 
5. Maintenance staff 

The residents will experience a relaxed lifestyle.

Locality details

The locality covers all the important infrastructures which are located at a short distance.

Key highlights

1. Navachethana hospital 
2. Holy rosary church
3. Airport road flyover 
4. State bank of india
5. All basic amenities are available nearby 

The apartment has an excellent connectivity with other parts of the city.

So avail the offer before anyone else does!

This is an amazing offer in a great location

For more information, contact owner
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
Piped gas facility is available in the property."
5,3 BHK Residential Apartment for rent in Choodasandra,Choodasandra,GR Sankalpa,29000,1465,3,3,"Our 3 bhk house at gr sankalpa, choodasandra is equipped to be a comfortable home with full electrical fittings, solar heater and modular kitchen. The property has a lively environment with central park and garden. Rent of rs 29,000 is including maintenance"
6,3 BHK Residential Apartment for rent in kullappa circle,kullappa circle,emerald,22000,1400,3,2,"Large 3 bedroom apartment immediately available for rent, ideal for it professionals and young families, located very centrally to all amenities, schools, shopping, transport facilities, hospitals, close to manyata embassy park, bagmane tech park, whitefield it hub at commutable distance.
 24/7 water both kaveri and bore water, lift and on site security watchman and house maid, solar water and rain water harvesting. Quiet property located in culdesac. Covered parking available. Full ventilation for sunlight and breeze."
7,2 BHK Residential Apartment for rent in Bohra Layout,Bohra Layout,Vanak Residency,12000,1000,2,2,"Looking for an apartment in the prime location of vanak residency,, bangalore?

With all amenities and facilities available for you and your family at a stone throw distance?

Well! This apartment comes with the bests of features and provides you and your family comfort, luxury and levels up your class.

Property configuration

This residential apartment in vanak residency, , bangalore is stretched over an area of 1000 sq. Ft. And comprises of-

1. Two spacious bedrooms
2. Two elegant washrooms
3. Two balconies
4. An ornamented kitchen

Facilities and features

This apartment is an unfurnished unit and comes with the basic facilities like lights and fans, proper electricity and bathroom fixtures.

The community holds on security and safety as its priority.

The apartment promised a contented lifestyle and it is facilitates the residents with a number of amenities such as-

1. Water storage facility 
2. Waste disposal facility 
3. Lifts
4. Maintenance staff 
5. Security personnel

The residents in this apartment will experience a relaxed lifestyle.

Locality details

The locality covers all the important infrastructures which are located at a short distance.

The apartment has an excellent connectivity with other parts of the city.

So avail the offer before anyone else does!

This is an amazing offer at a great location

For more information, contact owner"
8,2 BHK Residential Apartment for rent in Yelachenahalli,Yelachenahalli,Vaastu Placid,20000,1100,2,1,"Looking for an affordable apartment with best facilities? You are at the right place!

A semi furnished residential apartment at kanakpura road, bangalore south, with built up area of 1100 sq. Ft. Is immediately available for rent.

It is located on the 4th floor, which comprises of 2 bedrooms, 1 bathrooms, modular kitchen, wardrobe, lights, and fans.

There are 2 balconies in the property, which makes it fully ventilated, full of natural light, with a relaxing view to enjoy.

Everything within the apartment is of high quality.

Residents will be able to enjoy the benefits of a secure and safe neighborhood as the community is gated.

The property is road facing, which provides access to transportation, and proper security.

The apartment is at favorable locality as it is close to yelachanahalli metro station, which makes it convenient for the residents to travel.

Popular restaurants such as kumar restaurant, heavens gate dhaba, 7 hills restaurant, etc. Are just kilometers away from the apartment.

Major hospitals such as ritu hospital, shankar super specialty hospital, and kulkarni specialty care center are very close to the property, which makes it the most convenient place for the residents.

Loan facility is available.

Key highlights (Facilities/features):

A) covered parking
B) gated community
C) vaastu compliant
D) security/fire alarm
E) power backup
F) lift
G) close to school
H) close to city centre
I) travel friendly 

Isnt it the perfect home you are looking for? Then wait no more and just grab the opportunity right away!

Contact owner for more information."
9,1 BHK Independent Builder Floor for rent in Varthur,Varthur,,9500,800,1,1,"A promise to the buyers and investors to provide a lifestyle which is not just comforting and subtle but promises you a royal lifestyle.

This independent floor is located in the prime locality of devasthanagalu, bangalore and offer a number of facilities and advantages.
Property configuration-

The property is eloquently designed and is stretched across an area of 800 sq. Ft. 

This independent builder floor is divided into 

1. One bedroom
2. One washroom
3. One balcony 
4. Pooja room
5. An ornamented kitchen

This property is setup on the ground floor and is east facing which offers the residents an advantage of experiencing a palatial lifestyle. This property syncretizes modernity and class.

Features

This builder floor is semi-Furnished with a number of features incorporated such as the basic facilities of lights and fans

1. Modular kitchen
2. Spacious wardrobes
3. Geyser 

The property has great interiors set up for you and your family to have a scintillating experience. 

All surrounded by greenery, the property a part of an area which is less polluted and facilitates 24*7 water and electricity. There is a proper security setup as the security of residents is of utmost importance.

Location 

This property is strategically located in an advantageous location as all amenities are available nearby for the aid of the residents.
All major schools and hospitals are located in close proximity with the property 

So hurry! Avail the offer before anyone else does!

To get more details, contact owner."
